Date,Countries,Local,Industry Sector,Accident Level,Potential Accident Level,Gender,Employee or Third Party,Critical Risk,Description_final
2016-05-25,Country_03,Local_10,Others,1,1,Male,Third Party,Bees,grind team coordinate prospector assistants da silva wila p prong open access collect soil sample auxiliar come across try divert meter right place moment diversion come across marimbondo house front give time action since thugs already agitate da silva time sting head another behind neck sting face since allergy test verify allergic reaction wash affect part return normal activities
2016-05-26,Country_03,Local_10,Others,1,1,Male,Third Party,Bees,geological reconnaissance activity farm mr l zaro team compose felipe divino de morais normal activity encounter ciliary forest need enter forest verify rock outcrop front divine realize open access machete moment take bite neck attack allergic reaction continue work normally work complete leave forest access divine assistant attack snake suffer sting forehead moment move away area verify type allergic reaction return normal activities
2016-05-26,Country_03,Local_10,Others,1,1,Male,Employee,Others,geological reconnaissance activity farm mr l zaro team compose felipe divino de morais normal activity encounter ciliary forest need enter forest verify rock outcrop front divine realize open access machete moment take bite neck attack allergic reaction continue work normally work complete leave forest access divine assistant attack snake suffer sting forehead moment move away area verify type allergic reaction return normal activities
2016-06-01,Country_02,Local_05,Metals,1,3,Male,Employee,Cut,clerk peel pull sheet come another one strike th chirodactile leave hand tear pvc sleeve cause cut
2016-06-02,Country_02,Local_05,Metals,1,3,Male,Employee,Cut,process wash material becker tip material break cause cut th finger right hand
2016-06-03,Country_01,Local_01,Mining,1,2,Male,Third Party,Others,circumstances collaborator perform clean ditch cm deep remove pipe hdpe material estimate weight kg together two collaborators push tube drain dune collaborator hit lower right side lip produce slight blow lip time event collaborator safety helmet glass gloves
2016-06-04,Country_01,Local_04,Mining,5,5,Male,Third Party,Others,p approximately nv tecnomin winery mr chagua bodeguero alone cut wire grinder previously remove protection guard disk inch diameter adapt disk crosscutter approximately inch originate traumatic amputation two finger leave hand
2016-06-03,Country_03,Local_10,Others,2,2,Male,Third Party,Others,field trip lt lajes target junior da costa official step wooden stump grind approximately cm pierce boot wound sole right foot time accident employee use ppe require activity hand free employee take hospital go medical care release return activities next day work
2016-06-05,Country_01,Local_03,Mining,1,3,Male,Employee,Others,level ore haul activity locomotive op bin time convoy travel hopper op assistant motorist rid saddle hold pole strike weakly split set suspend hdp pipeline gable work meter floor time accident assistant wear safety equipment wear seatbelt time accident split set accompany movement path convoy
2016-06-05,Country_01,Local_06,Metals,1,1,Male,Employee,Fall Prevention,employee work electrician management electrometallurgy suffer contusion right leg suffer slip height step staircase code ele abb furnace cat ladder immediately refer collaborator medical service treat
2016-06-08,Country_01,Local_04,Mining,1,3,Male,Third Party,Others,time workers technician mr orlando boltec cia want pass hand stacker sardinel technician pull hydraulic arm mr push nail equipment reach trench rim tie team turn forward fall technician
2016-06-07,Country_01,Local_01,Mining,1,1,Male,Employee,Others,circumstances employee make connection electric cable jumbo operator feel discomfort face clean hand use rubber glove generate superficial laceration small wind leave cheekbone
2016-06-07,Country_01,Local_03,Mining,1,3,Male,Third Party,Others,phase iii concentrator plant maintenance personnel carry removal transmission belt flotation cell pb clean moment mechanic remove belt lean leave leg slide towards grate floor leave foot two pip generate lesion describe work carry floor level time accident staff put safety equipment
2016-06-08,Country_01,Local_06,Metals,4,4,Male,Employee,Fall Prevention (Same Level),approximately p operator eustaquio fall metal platform give access tank strong acid leach stage suffer luxo fracture wrist leave lean floor hand operator direct first tank strong acid leach stage tk verify entry spend taque
2016-06-08,Country_03,Local_10,Others,1,1,Male,Third Party,Bees,project vazante carry sediment collection current south mata target drainage serra garrote team compose members wca company r leandro jehov nio move one collection point another inside shallow drainage saw bee carton reaction move away box quickly possible avoid sting run meter look safe area exit radius attack be breno attack consequently suffer sting belly jehovah hand verify type allergic reaction return normal activities
2016-06-08,Country_03,Local_10,Others,1,1,Male,Third Party,Others,project vazante carry sediment collection current south mata target drainage serra garrote team compose members wca company r leandro jehov nio move one collection point another inside shallow drainage saw bee carton reaction move away box quickly possible avoid sting run meter look safe area exit radius attack be breno attack consequently suffer sting belly jehovah hand verify type allergic reaction return normal activities
2016-06-10,Country_02,Local_05,Metals,1,3,Male,Third Party (Remote),Manual Tools,employee report work brushcutters near stone blade equipment collide piece metal project toward leg cause injury leave leg
2016-06-13,Country_01,Local_01,Mining,1,4,Male,Employee,Others,moor faneles detonate cord complete injure person proceed tie detonate cord safety guide slow wick distance meter top work moment finish moor rock bank cm x cm x cm kg front height meter fall floor close injure disintegrate several fragment one cmx cmx cm kg slide fragment rock impact leave leg victim time accident operator use safety boot accompany supervisor
2016-06-16,Country_01,Local_03,Mining,1,4,Male,Third Party,Others,activity construction wall stopper mortar block improve ventilation intermediate zone moments bricklayer assistant prepare complete construction high wall part wall block kg per block fall towards scaffold mason assistant jump towards accumulation sand locate one side avoid hit block fall injury describe occur time accident mason assistant jump height floor work use personal safety equipment reduce impact fall
2016-06-16,Country_03,Local_10,Others,1,1,Male,Third Party,Bees,geologo auxiliary elismar travel evaluate geological point follow gps near drainage follow state highway give access aripuan area stop get vehicle see point identify gps renato distance seven meter vehicle follow road surprise four bite thorns face neck quickly hurry back vehicle move away place clerk wear girdle goggle still wear gloves would enter forest area allergic reaction
2016-06-16,Country_03,Local_10,Others,1,1,Male,Third Party,Bees,geologist auxiliary ademir travel field evaluate geological point follow gps near drainage follow state highway give access aripuan area stop get vehicle see point identify gps rio distance five meter vehicle follow road surprise two bite thorns face quickly hurry back vehicle move away place clerk wear girdle goggle still wear gloves would enter forest area allergic reaction
2016-06-16,Country_03,Local_10,Others,1,1,Male,Third Party,Bees,safety technical move field inspection activity way field pause together two team order know drainage point check safety get vehicle strike sting weed neck quickly return vehicle make radio communication two team distance place clerk wear leggings glass allergic reaction
2016-06-16,Country_03,Local_10,Others,1,1,Male,Third Party,Bees,auxiliary geologist travel field evaluate geological point follow gps near drainage follow state highway give access aripuan area stop get vehicle see point identify gps ademir distance five meter vehicle accompany geologist mario surprise two bite blow neck quickly hurry back vehicle move away place clerk wear girdle goggle still wear gloves would enter forest area allergic reaction
2016-06-18,Country_03,Local_10,Others,1,1,Male,Employee,Bees,travel field order make geological map geologist manoel accompany prospector marcos stoop deviate vegetation time receive three whistle sting two face one neck allergic reaction activities follow normally event
2016-06-18,Country_03,Local_10,Others,1,1,Male,Third Party,Bees,move field make geological map prospector marcos accompany geologist manoel stoop deviate vegetation moment receive whistle sting ring finger right hand allergic reaction activities follow normally event
2016-06-17,Country_02,Local_08,Metals,4,5,Male,Employee,Others,approximately pm operator paulo operator filter inform autoclave operator via radio leak side scruber autoclave iii fee stop control officials georli renato initiate procedures close autoclave transfer valve flash tqs soon break chicken project pulp hot reach three employees inside room near equipment
2016-06-19,Country_01,Local_03,Mining,4,4,Male,Third Party,Others,operator scissor leave equipment park level acc due electrical problems maintenance personnel arrive electrician climb control platform equipment perform verification hydraulic system confirm problem coordination mechanic decide perform test diesel system moments accidentally activate body arm movement lever cause drill arm move downwards generate leave hand atricion support pivot tube generate lesion describe time accident electrician alone control platform mechanic grind level observe pressure diesel system pressure gauge
2016-06-21,Country_01,Local_01,Mining,1,3,Male,Third Party,Others,mechanical technician proceed perform maintenance motor support tipper decide bring wooden block move temporary storage materials locate tipper circumstances seek cue camera tire burst suddenly right involve thunderous sound affect right ear worker tire explode psi pressure approximately time event stack pneumatic second one explode present cut place energy release tire upper part project tire leave previous guard night shift storage area roof place event affect mechanic locate distance workers area truck park none suffer damage glass
2016-06-22,Country_01,Local_03,Mining,1,3,Male,Third Party (Remote),Others,level access siemag camera roof time piquero civil operator look stilson key inside metal tool box open metal lid x x kg weight hand push lid backwards position right hand near base lid cause incentration fifth finger lid structure box height hinge time accident employee wear pad gloves reduce consequence injury
2016-06-23,Country_02,Local_08,Metals,1,2,Male,Employee,Manual Tools,handle lever move sludge employee move make pendulum movement strike chin
2016-06-24,Country_01,Local_01,Mining,1,3,Male,Third Party,Others,change rim position jumbo moments mechanical technician support electrician disengage bolt loosen fourth nut help lever metal tube diameter length weight kg bounce effect return initial position hit palm leave hand electrician technician cause injury employees time accident use ppe include leather gloves
2016-06-24,Country_01,Local_01,Mining,1,4,Male,Third Party,Others,circumstances operator scooptram proceed sit equipment close door take right hand handrail place close door hinge close trap part worker middle finger worker time accident make use leather safety gloves
2016-06-29,Country_01,Local_01,Mining,1,4,Male,Employee,Others,plant work geho pump reducer n accompany rotation shaft reducer mix key wrench crown hit house geho pump attribute union area fifth fourth finger welder right hand cause injury time accident equipment block employee use leather gloves
2016-07-02,Country_01,Local_03,Mining,5,5,Male,Third Party,Others,access level installation activity hydraulic fill pip diameter instal section height reference floor master hydraulic fill accident partner suffer attrition right hand upper edge scoop lamp roof work generate injury time accident employee use rubber gloves
2016-07-04,Country_01,Local_06,Metals,3,4,Male,Third Party,Pressed,mr frank support another mechanic prepare place floor metal part call rear bridge forklift moment part move part move generate blow middle finger leave hand
2016-06-24,Country_01,Local_03,Mining,1,2,Male,Third Party,Others,level gallery perform manual unlock load worker prepare cut sacrificial mesh expose previous turn shoot place inch shear cut fifth suddenly strain wire mesh return face casion ndole injury describe activity worker use safety glass
2016-07-08,Country_01,Local_01,Mining,1,2,Male,Employee,Others,circumstances adjutant scissor bolter come team ladder last step slide approximate height fall sit floor time accident person involve use helmet rock materials crash site
2016-07-07,Country_01,Local_03,Mining,4,5,Male,Third Party,Others,moments maperu truck plate f return city pasco unit transport consultant meter main gate lane invade civilian vehicle make driver turn sharply side right staff company impromec hot melt work pipe impact two collaborators cause injuries describe time accident truck travel km h accord inthinc width road meter activity safety con warn side road employees use respective epp
2016-07-07,Country_01,Local_03,Mining,1,4,Male,Third Party,Others,moments maperu truck plate f return city pasco unit transport consultant meter main gate lane invade civilian vehicle make driver turn sharply side right staff company impromec hot melt work pipe impact two collaborators cause injuries describe time accident truck travel km h accord inthinc width road meter activity safety con warn side road employees use respective epp
2016-07-08,Country_01,Local_06,Metals,3,4,Male,Third Party,Manual Tools,h approx hours operator fernando open wagons find harden stake use bar approx remove moment press bar hit hand
2016-07-09,Country_03,Local_10,Others,3,4,Male,Third Party,Others,execution drill target bolt brjcldd make company servitecforaco probe july official josimar da silva moment maneuver fish material remove feeder water movement winch realize safety chain loose could curl rod perform chain removal movement place leave hand hose cap hydraulic plate unlock inner tube abrupt movement chain push hand towards hydraulic plate cause injury ring finger hand lesion cause cut th quirodactyl need suture point close cut
2016-07-10,Country_01,Local_04,Mining,4,4,Male,Third Party,Others,operator paste fill plant remove floor grate x cm clean lower floor remove close water valve block vacuum two technicians enter filter belt notice overflow ask operator reduce load mechanics keep walk without notice floor one fall void impact foot leave angle cm floor grate produce injury
2016-07-11,Country_02,Local_05,Metals,3,4,Male,Third Party (Remote),Suspended Loads,accident occur time employee partner company sf carry unload operation bladder bag cut bag charge boom silo truck delivery mouth inner plastic bag surround content abruptly drop large amount material fell onto cone funnel cone fell injure man stand leg press body guard scaffold external medical attention verify fracture
2016-07-14,Country_01,Local_03,Mining,1,2,Male,Employee,Others,level entrance locomotive workshop welder proceed inspect mine cars identify car bear problems inform partner find decide enter car workshop operate swing arm type mona kg weight move direction railway towards central op moment push rocker weight body right hand come contact rock produce injury describe time accident worker wear safety gloves pad
2016-07-15,Country_02,Local_05,Metals,1,2,Female,Employee,Chemical Substances,handle sample laboratory sleeve employee coat contact nitric acid absorb small amount come reach leave forearm cause st degree burn
2016-07-16,Country_01,Local_03,Mining,1,4,Male,Third Party,Others,level gallery hold activity bolter equipment operator perform drill first hole support right gable foot deep drill end drill rod break leave thread inside drill machine shank operator assistant decide make two empty percussion attempt free thread shank without success third attempt assistant enter corrugate iron central hole rest bar embed shank generate pressure moment operator activate percussion generate movement shank hit palm victim leave hand generate describe injury worker wear safety gloves time accident end corrugate iron contact leave hand shape like cane worker time accident position roof support mesh split set
2016-07-18,Country_01,Local_06,Metals,1,3,Male,Third Party,Fall Prevention (Same Level),hours collaborator warrin welder try inspect crack point inlet g laminator slip fall level hit face hand immediately transfer medical service evaluation
2016-07-20,Country_02,Local_05,Metals,1,3,Male,Employee,Chemical Substances,employee report drain ammonia use refrigerant container water splash solution drain onto face
2016-07-21,Country_02,Local_12,Others,1,2,Female,Employee,Others,eus bio bridge sudden brake several cars brake quickly collaborator car fail stop time collide rear car ahead km hour
2016-07-23,Country_02,Local_08,Metals,1,2,Male,Third Party (Remote),Pressurized Systems,torch cut activity new evaporator treatment fix rupture hose near torch pen cause injury
2016-07-27,Country_01,Local_03,Mining,2,4,Male,Employee,Others,time mill operator proceed remove vitaulic flange connect suction pipe pump house b intention de sand system remove flange mineral pulp come pressure impact face wrist leave hand generate lesion describe time accident secondary mill pump b block maintenance work mill operator use safety glass
2016-07-29,Country_01,Local_03,Mining,1,4,Male,Employee,Others,level access area operator scissor team prepare present second mesh continue support work operator pull support mesh share length equally side equipment moment roof work rock weigh approximately kg fall support mesh slide towards right side spoiler result mesh push operator kneel floor platform generate lesion describe rock fall directly impact operator squat position operator move away area walk mean support assistant
2016-07-30,Country_02,Local_07,Mining,1,2,Male,Employee,Others,employee report upon initiate rlc front load activity elevation aerial work platform rock fragment roof gallery drop reach face cause lesion
2016-08-02,Country_02,Local_02,Mining,1,3,Male,Third Party (Remote),Others,open access ladder people carry truck employee right hand press support bracket suffer superficial injury
2016-08-01,Country_02,Local_05,Metals,2,3,Female,Third Party,Manual Tools,employee partner company gr report cut watermelon injure nd chirodactilo leave hand knife
2016-08-02,Country_03,Local_10,Others,1,1,Male,Third Party,Bees,mince team carry activities city ju na coordinate mine technician felipe time mine technician last line away team bite blackjack leave side face allergic manifestation team continue work afternoon lunch employee seek medical care medicate release continue activities next day
2016-08-01,Country_01,Local_04,Mining,2,3,Male,Third Party,Others,time worker clean long hole production mesh negative remove polyethylene pipe suffer clog inside drill product compress air pressure release eject detritus fragment rock inside hole impact worker forehead cause cut
2016-08-04,Country_02,Local_08,Metals,1,2,Male,Employee,Cut,remove cap wear plate warman lx bb pump leave hand employee glove slip come contact cut part board
2016-08-11,Country_02,Local_02,Mining,4,4,Male,Third Party (Remote),Others,withdrawal fix jaw wedge crusher br hoist device hook break cause steel cable overhead crane strike leave hand employee
2016-08-11,Country_02,Local_12,Others,1,4,Female,Employee,Others,leave company employee stumble onto exit ladder build fell step cause twist ankle grate cinnamon
2016-08-12,Country_01,Local_03,Mining,3,4,Male,Employee,Others,ore transport work op bin fill tenth mine car ore assistant position platform hopper op place wooden board pistons chain avoid fall fin track time fragment rock cmx cm x cm kg roll load hit distal phalanx fourth finger leave hand assistant time accident wear safety gloves pad type hopper op time accident zero energy
2016-08-14,Country_01,Local_01,Mining,3,4,Male,Third Party,Others,circumstances drill assistants proceed assemble inner tube barel injure person retract inner tube head throw manually towards top catheter inclination continue perforation moment glove leave hand hook speart point push leave hand edge box barel originate injury time accident injure employee use rubber gloves work area well light
2016-08-14,Country_02,Local_08,Metals,1,3,Male,Employee,Projection,employee mr nilton make open visit unclog moment occur projection hot material occur accident
2016-08-15,Country_01,Local_01,Mining,1,4,Male,Third Party,Others,maintain ramp place first cloth overlap previous mesh operator check work front return back team coordinate assistant time fragment rock weight kg non sustain area detach impact arm team reach bounce collaborator cause injury one involve make use epps time incident assistant back team prepare support mesh
2016-08-18,Country_01,Local_03,Mining,1,3,Male,Employee,Others,level access operator scissor perform support crown time piece rock cmx cmx cm g pass cocada support mesh height meter towards platform team break particles one reach right eye cause injury
2016-08-19,Country_01,Local_03,Mining,1,3,Male,Employee,Others,level access operator scissor carry support right gable platform arrange place split set drill squat position introduce bolt moment cocada support mesh fall crown piece rock cmx cmx cm gr approximate height impact cervical region collaborator cause lesion describe time accident crown hold collaborator use safety glass gloves
2016-08-22,Country_02,Local_05,Metals,1,3,Male,Employee,Pressed,employee perform cut activity carbon steel pipe attach band saw machine due uneven weight distribution tube move downward end project upwards press thumb
2016-08-24,Country_02,Local_05,Metals,1,2,Male,Employee,Cut,servant would remove dish bowl sink pick set plat one break break edge cause injury rd chiropactyl right hand
2016-08-25,Country_01,Local_03,Mining,1,4,Male,Employee,Others,time collaborator perform evacuation inchancables mine present strip phase notice piece support mesh position frame return belt several attempt remove mesh belt movement use metal rake support mesh yield move direction rotation return belt hit collaborator hand metal structure cause contusion leave hand time accident employee use leather gloves
2016-08-24,Country_01,Local_01,Mining,1,2,Male,Employee,Others,topographic survey stp east zone victim co worker decide continue work stp west injure person walk behind co worker meter arrive load zone intersection rpa st injure person ask sccop operator stop pass equipment stop victim pass behind partner stick gable try avoid accumulation water take third step puddle injure person step false fall floor cause injury
2016-08-29,Country_02,Local_05,Metals,1,2,Male,Employee,Chemical Substances,employee report carry activity area expedition remove overalls contact material contaminate sleeve cause st degree burn right forearm
2016-08-27,Country_01,Local_06,Metals,1,2,Male,Employee,Pressurized Systems / Chemical Substances,hours row cell suction partner remove suction hose untimely splash electrolyte solution leave eye immediately refer medical service
2016-08-30,Country_02,Local_08,Metals,2,2,Female,Third Party (Remote),Others,execution area clean activity use hoe employee hit fix metal structure area come reach abdomen leave
2016-08-30,Country_01,Local_06,Metals,1,2,Male,Third Party,Others,collaborator clean sink copper repulping area moment fill truck shovel project sludge towards lenses soil obstruct vision worker indicate remove lenses clean mud particles enter leave eye cause discomfort refer medical center correspond attention
2016-09-01,Country_02,Local_05,Metals,2,4,Male,Third Party (Remote),Manual Tools,clerk cut excess fiberglass pass box contact blade marble saw cut glove cause wind right hand
2016-09-02,Country_01,Local_03,Mining,1,1,Male,Third Party,Others,level unicon plant collaborator shutter work concrete water sedimentation basin moment nail wood supply another x inch strip feel metallic hammer loosen wooden handle fix grab hammer head hit handle vertically wood generate injury time accident employee use safety gloves
2016-09-04,Country_01,Local_03,Mining,1,3,Male,Third Party,Others,surface din room employees unit collaborator perform chicken habilitation lunch use kitchen knife come contact distal part second finger leave hand cause injury describe accident employee use specific height gloves type work
2016-09-03,Country_01,Local_04,Mining,3,4,Male,Employee,Others,maintenance work vertical pump zinc concentrate three mechanics perform lift maneuver able position pump drawer instants pump become clog reduce space work area order release pump place young lady lower part time release turn untimely hit middle finger injure person right hand trellex hose
2016-09-04,Country_01,Local_06,Metals,4,4,Male,Employee,Suspended Loads,section row cell worker perform anode lift correct short circuit use auxiliary hoist nylon sling time sling release anode hit back right hand cause injury worker see medical transfer clinic external evaluation
2016-09-06,Country_02,Local_02,Mining,1,2,Male,Employee,Others,check list area survey operator slip foliage leucenas fell
2016-09-05,Country_02,Local_05,Metals,1,2,Female,Employee,Venomous Animals,participate general dds hold outside area central locker room employee bite bee
2016-09-06,Country_02,Local_07,Mining,1,2,Male,Employee,Others,employee report perform maintenance activity pump tunnel tc pull rotor strike piece mallet slip hand reach lower part leave leg cause injury
2016-09-13,Country_01,Local_03,Mining,1,4,Male,Third Party,Others,try release pipe hdp pipe long diameter stick support mesh master loader assistant pull pipe release pipe release hit lateral part cheekbone eyelid worker right generate describe injury
2016-09-12,Country_01,Local_11,Others,3,4,Female,Employee,Others,city conchucos ancash participate patronal feast represent company mount horse part ceremony throw fruit toy people attend public event noise materials pyrotechnics people try collect gift cause horse front close horse frighten kick back hit lower limbs
2016-09-13,Country_02,Local_05,Metals,1,2,Male,Employee,Suspended Loads,employee remove strap chemical container project toward reach lower lip anterior chest strap contaminate caustic soda cause st degree burn
2016-09-15,Country_03,Local_10,Others,1,1,Male,Third Party,Others,cut vegetation open bite use sickle assistant strike vine twice liana rupture top branch project face auxiliary cause cut upper lip
2016-09-17,Country_01,Local_06,Metals,1,2,Male,Third Party,Pressed,september approximately pm preventive maintenance g debark machine bear assembly make anode clean roller fit bear final position staff use chisel pound rope position bear worker place leave hand near head chisel warp circumstances splinter embed proximal part thumb leave hand immediately collaborator communicate supervisor evacuate medical review
2016-09-16,Country_02,Local_05,Metals,2,4,Male,Employee,Pressurized Systems,employee report monitor existence borehole tube thermal recovery boiler ustulation area side window strike projection heat air reach face right forearm
2016-09-20,Country_03,Local_10,Others,1,1,Male,Third Party,Fall,collaborator around clean leave return well borehole brapdd slip canvas edge well hit right side back metal structure mud swathe box cause slight excoriation employee refer local hospital medicate release activities
2016-09-20,Country_02,Local_05,Metals,1,2,Male,Third Party (Remote),Blocking And Isolation Of Energies,employee perform maintenance blower residual water projection occur face attempt remove ppe injure person contact contaminate gloves right eye cause irritation
2016-09-20,Country_01,Local_06,Metals,1,2,Male,Third Party,Others,lubricate technician alfredo make oil fill reducer notice oil leak tear connection hose reducer correct leak work finish go lubricants workshop remove gloves observe hand affect contact hot surface go medical center treat
2016-09-21,Country_01,Local_03,Mining,1,3,Male,Third Party,Others,maintenance access moment assistant place mini split set adapter clamp lock return initial position hit collaborator hand cause describe injury time accident team sustain area arm jumbo height floor employee wear rubber gloves
2016-09-21,Country_02,Local_05,Metals,2,3,Male,Third Party,Manual Tools,employee prepare rice use utensil type skimmer stir inside pressure cooker part cable break reach hand cause blunt cut
2016-09-22,Country_01,Local_01,Mining,1,4,Male,Employee,Others,circumstances operator bolter n go ladder height rest platform floor level slip balance hit back handrail operator door time event injure person use epp
2016-09-22,Country_01,Local_06,Metals,1,3,Male,Employee,Others,technician operator head towards zone lift containers dust zinc section use space base tranquera sardinel slip edge rasp ndose leave side thorax treat medical center local treatment return work area
2016-09-27,Country_01,Local_06,Metals,1,2,Female,Third Party,Pressurized Systems,h september worker confipetrol carry industrial clean outside acid reduction tank check progress helmet mask moment hose pipe release secure pressure clamp water air impact lips
2016-09-29,Country_01,Local_04,Mining,1,2,Male,Third Party,Others,approximately marco isidro torres perform pipe standardization cx cx nv moments marco lift air pipe spike seat pipe impact worker safety guard
2016-09-30,Country_01,Local_04,Mining,1,1,Male,Employee,Others,approximately mechanic remove last bolt nipple pump lime feeder reactive area mechanic position slightly flex legs perform upward force hand moment feel pain spume right thigh mechanic evacuate help colleagues medical post
2016-10-01,Country_01,Local_04,Mining,2,3,Male,Third Party,Others,approximately maintenance workshop e e unicon circumstances two mechanical technicians place protective plate kg mixkret fuel tank moment attempt bolt protective plate slip hand one fall directly instep leave foot cause injury describe
2016-10-03,Country_01,Local_04,Mining,1,2,Male,Third Party,Others,n nv cx mixkret operator wash mixkret hose water pressure necessary change location right side leave proceed pull hose slip feel leave foot bend
2016-10-03,Country_02,Local_05,Metals,1,3,Male,Employee,Pressed,carry supply operation zinc powder container use crane move employee close lower lock container make movement push lock make excessive effort thumb right hand cause sprain
2016-10-03,Country_02,Local_08,Metals,1,2,Male,Employee,Pressed,withdrawal cathode sample employee come press finger tool cut sample
2016-10-03,Country_01,Local_03,Mining,1,4,Male,Third Party,Others,intersection level main road access south ramp collaborator free tube inch diameter gable descend hold pipe fourth step telescopic aluminum ladder approximately meter floor point another clamp point gable lift lift tube pull worker cause lose balance fall height meter describe injury occur
2016-10-04,Country_03,Local_10,Others,3,3,Male,Employee,Others,probe bore bapdd around hours poll assistant luciano da silva perform maneuver descend rods lead rod gutter lean suitably come escape gutter return toward easel hand slip little finger rod easel realize shaft return release immediately little finger partially hit rim rod easel result cut auxiliary take hospital attend wind result point release administrative activities
2016-10-08,Country_01,Local_04,Mining,2,2,Male,Third Party,Others,offices incimmet circumstances environment set place clean materials wooden strip place staircase structure container strip cut size accident victim coordinate partner put pressure use hammer hold right hand frame pressure place strip push side container create open corrugate iron wall time continue hit ribbon fall cause wall container return initial position press tip little finger right hand corrugate iron cause accident
2016-10-10,Country_01,Local_03,Mining,1,4,Male,Third Party (Remote),Others,area equipment inspection staff atenuz ee try remove hydraulic hammer safety lock excavator mechanical lubricator hold right hand hat type chisel equipment mechanic hit chisel pound rubber bump remove safety point one blow fall edge hat type protector cause slip strike fourth finger lubricant mechanic right hand generate describe injury time accident lubricator mechanic put gloves type pad
2016-10-10,Country_01,Local_04,Mining,3,4,Male,Employee,Others,approx hrs mr eliseo secondary crush operator retire snack find gate chute strip open approach close gate moment operator mr samuel upper platform coordinate operator control room start strip moment start product project particle x x cm impact flange gate project towards height lenses respirator mr eliseo
2016-10-11,Country_02,Local_05,Metals,1,3,Male,Employee,Chemical Substances,employee clean near area pneumatic conveyor hit drop sulfuric acid upper lip
2016-10-13,Country_02,Local_02,Mining,2,2,Male,Third Party (Remote),Others,employee assist support gate tie canvas frame press rope canvas stretch metal structure move come wooden support fall strike employee face cause cut right superciliary
2016-10-13,Country_01,Local_03,Mining,3,4,Male,Employee,Others,phase operator carry removal inchancanbles reciprocate feeder remove split set support rope staff support leave hand structure protection fall moment another split set come together load hit distal phalanx fifth finger leave hand generate describe injury
2016-10-18,Country_01,Local_03,Mining,4,4,Male,Third Party,Others,circumstances assistant mine arrange advance hose flexible nylon diameter proceed water shoot fire position zone support deteriorate last blast moment give block rock cmx cmx cm kg roof work height meter fall hit rebound leave leg collaborator cause describe injury
2016-10-18,Country_01,Local_03,Mining,1,4,Male,Third Party,Others,inside mine diamond drill positive drill moments control tube rescue fisherman winch cable break untimely develop whiplash effect impact leave hand drill assistant cause describe injury time accident drill assistant platform frame use hycron type safety gloves
2016-10-20,Country_02,Local_05,Metals,1,3,Male,Employee,Pressurized Systems,employee clean thermal recovery boiler use air boom hose loosen pipe connection draw jet compress air toward right ear cause impact noise
2016-10-23,Country_02,Local_02,Mining,2,4,Male,Employee,Others,activity load explosives front level gts fall rock fragment reach right arm blaster cause cut blunt
2016-10-24,Country_01,Local_01,Mining,1,4,Male,Third Party,Others,circumstances mechanical technician work colleague arrange accommodate spare rollover small platform cart floor two squat collaborators decide push one side time one edge rollover imprison third finger leave hand handle cart right side cause wind third finger leave hand time accident employees use respective gloves
2016-10-26,Country_01,Local_01,Mining,3,4,Male,Employee,Others,ore load lt locomotive complete penultimate car derail th car presence fragment rock railway line weight car mineral tons get back track mine car victim make use metal tube length meter diameter maneuver reposition mine car moment metallic tube lose stability imprison victim hand strut mine car collaborator time event towards use leather gloves
2016-10-27,Country_01,Local_03,Mining,1,4,Male,Employee,Others,time heavy equipment operator get equipment check right front headlight defective scooptram position rim position leave leg slide cause heavy equipment operator fall height cm
2016-10-29,Country_01,Local_03,Mining,1,4,Male,Employee,Others,alimak chimney level alimakero driller assistant position main cage guard head proceed perform rock untie top chimney time teacher perceive spark rock top communicate assistant prevent fall rock x x guard head fragment one fragment fall chain rebound rub operator right hand generate describe injury
2016-10-29,Country_02,Local_08,Metals,4,4,Male,Employee,Pressed,activity place board rack exchange fabrics filter one plat incline try put plate correct position plate arm press back right hand structure easel
2016-11-04,Country_01,Local_03,Mining,4,5,Male,Employee,Others,observe pulp overflow overflow reception drawer thickener filter operator approach verify operation c pump make sure stop press keypad start pump get start proceed remove guard manipulate motor pump transmission strip leave hand imprison pulley motor transmission belt
2016-11-08,Country_01,Local_04,Mining,1,4,Male,Employee,Others,mr eriks complete change guide pole conveyor belt collaborator move side belt remove tecl pass stairs without get observe moment collaborator jhon drop inchancable weight approx kg entrance platform chute discharge height meter iron graze forearm finally hit leave foot height instep
2016-11-08,Country_02,Local_08,Metals,1,2,Male,Employee,Others,ignite furnace battery reflux hot gas reach face employee
2016-11-11,Country_01,Local_06,Metals,4,4,Male,Employee,Others,approximately mr wilmer approach c dry tower placement blanket cover entrance manhole tower moment manhole cover rest rail slide impact right leg
2016-11-13,Country_01,Local_06,Metals,1,2,Male,Employee,Others,hrs cathode go pre estriping sheet detach bend cathode position operator assistant lift cathode head position tranfer moment detach sheet exert pressure cathode hit palm leave hand operator head transfe activity paralyze collaborator refer medical post head guard
2016-11-19,Country_01,Local_04,Mining,3,4,Male,Third Party,Others,workers c sar injure nilton receive order immediate supervisor rom n carry assembly activity brace length approximate weight kg structure nro belt say collaborators lift brace approach installation point leave one end grind rest corner pedestal approximate height cm carry plan work injure person lift end part floor turn position assembly moment end fall generate imprisonment finger leave hand staff take medical center supervisor
